"filename", "language", "Makefile", "C", "C++", "comment", "blank", "total"
"/home/stathis/Code/Random/HeadFirstC/Lab3/Blasteroid/include/asteroid.h", "C++", 0, 0, 16, 0, 1, 17
"/home/stathis/Code/Random/HeadFirstC/Lab3/Blasteroid/include/blast.h", "C++", 0, 0, 13, 0, 1, 14
"/home/stathis/Code/Random/HeadFirstC/Lab3/Blasteroid/include/blasteroids.h", "C++", 0, 0, 37, 0, 4, 41
"/home/stathis/Code/Random/HeadFirstC/Lab3/Blasteroid/include/collisions.h", "C++", 0, 0, 22, 0, 14, 36
"/home/stathis/Code/Random/HeadFirstC/Lab3/Blasteroid/include/spaceship.h", "C++", 0, 0, 5, 9, 1, 15
"/home/stathis/Code/Random/HeadFirstC/Lab3/Blasteroid/makefile", "Makefile", 18, 0, 0, 0, 6, 24
"/home/stathis/Code/Random/HeadFirstC/Lab3/Blasteroid/src/asteroid.c", "C", 0, 86, 0, 12, 22, 120
"/home/stathis/Code/Random/HeadFirstC/Lab3/Blasteroid/src/blast.c", "C", 0, 53, 0, 7, 15, 75
"/home/stathis/Code/Random/HeadFirstC/Lab3/Blasteroid/src/blasteroids.c", "C", 0, 101, 0, 9, 24, 134
"/home/stathis/Code/Random/HeadFirstC/Lab3/Blasteroid/src/collisions.c", "C", 0, 105, 0, 0, 28, 133
"/home/stathis/Code/Random/HeadFirstC/Lab3/Blasteroid/src/spaceship.c", "C", 0, 112, 0, 8, 23, 143
"Total", "-", 18, 457, 93, 45, 139, 752